Month,Google Translate,ChatGPT,DeepL
2016-01-01,17,0,0.5
2016-02-01,18,0,0.5
2016-03-01,18,0,0.5
2016-04-01,18,0,0.5
2016-05-01,18,0,0.5
2016-06-01,16,0,0.5
2016-07-01,14,0,0.5
2016-08-01,15,0,0.5
2016-09-01,18,0,0.5
2016-10-01,19,0,0.5
2016-11-01,19,0,0.0
2016-12-01,17,0,0.0
2017-01-01,18,0,0.0
2017-02-01,19,0,0.0
2017-03-01,19,0,0.0
2017-04-01,18,0,0.0
2017-05-01,19,0,0.0
2017-06-01,17,0,0.0
2017-07-01,17,0,0.0
2017-08-01,17,0,0.0
2017-09-01,19,0,0.0
2017-10-01,21,0,0.5
2017-11-01,21,0,0.5
2017-12-01,19,0,0.5
2018-01-01,20,0,0.5
2018-02-01,20,0,0.5
2018-03-01,20,0,0.5
2018-04-01,20,0,0.5
2018-05-01,19,0,0.5
2018-06-01,18,0,0.5
2018-07-01,19,0,0.5
2018-08-01,17,0,0.5
2018-09-01,19,0,0.5
2018-10-01,21,0,0.5
2018-11-01,21,0,0.5
2018-12-01,19,0,0.5
2019-01-01,19,0,0.5
2019-02-01,20,0,0.5
2019-03-01,21,0,0.5
2019-04-01,21,0,0.5
2019-05-01,20,0,1.0
2019-06-01,19,0,0.5
2019-07-01,20,0,0.5
2019-08-01,20,0,0.5
2019-09-01,22,0,1.0
2019-10-01,23,0,1.0
2019-11-01,24,0,1.0
2019-12-01,23,0,1.0
2020-01-01,23,0,1.0
2020-02-01,24,0,1.0
2020-03-01,26,0,1.0
2020-04-01,27,0,1.0
2020-05-01,25,0,1.0
2020-06-01,24,0,1.0
2020-07-01,23,0,1.0
2020-08-01,21,0,1.0
2020-09-01,27,0,1.0
2020-10-01,26,0,1.0
2020-11-01,25,0,1.0
2020-12-01,25,0,1.0
2021-01-01,26,0,1.0
2021-02-01,24,0,1.0
2021-03-01,25,0,1.0
2021-04-01,24,0,1.0
2021-05-01,24,0,1.0
2021-06-01,24,0,1.0
2021-07-01,21,0,1.0
2021-08-01,22,0,1.0
2021-09-01,23,0,1.0
2021-10-01,25,0,2.0
2021-11-01,24,0,2.0
2021-12-01,23,0,2.0
2022-01-01,25,0,2.0
2022-02-01,27,0,2.0
2022-03-01,27,0,2.0
2022-04-01,26,0,2.0
2022-05-01,27,0,2.0
2022-06-01,28,0,2.0
2022-07-01,25,0,2.0
2022-08-01,25,0,2.0
2022-09-01,28,0,2.0
2022-10-01,27,0,2.0
2022-11-01,28,0,2.0
2022-12-01,26,0,2.0
2023-01-01,26,0,2.0
2023-02-01,29,0,3.0
2023-03-01,27,0,3.0
2023-04-01,26,0,2.0
2023-05-01,28,0,3.0
2023-06-01,27,8,3.0
2023-07-01,25,17,2.0
2023-08-01,25,18,2.0
2023-09-01,26,22,3.0
2023-10-01,28,25,3.0
2023-11-01,27,26,3.0
2023-12-01,24,23,3.0
2024-01-01,25,24,3.0
2024-02-01,24,27,3.0
2024-03-01,23,28,3.0
2024-04-01,23,30,3.0
2024-05-01,22,35,3.0
2024-06-01,20,32,3.0
2024-07-01,20,27,3.0
2024-08-01,23,33,3.0
2024-09-01,21,46,3.0
2024-10-01,21,52,3.0
2024-11-01,20,54,3.0
2024-12-01,18,52,3.0
2025-01-01,19,53,3.0
2025-02-01,19,63,3.0
2025-03-01,18,67,3.0
2025-04-01,17,83,3.0
2025-05-01,18,85,3.0
2025-06-01,16,88,3.0
2025-07-01,15,88,2.0
2025-08-01,16,94,2.0
2025-09-01,16,99,3.0
2025-10-01,16,100,2.0
2025-11-01,15,100,2.0
2025-12-01,14,84,2.0
2026-01-01,14,89,2.0
2026-02-01,13,91,2.0
2026-03-01,14,96,2.0
2026-04-01,13,93,2.0
2026-05-01,13,94,2.0
2026-06-01,12,92,2.0
2026-07-01,11,87,2.0
