Категория: Все категории

Месяц,Google Translate: (По всему миру),ChatGPT: (По всему миру),DeepL: (По всему миру)
2016-01,17,0,<1
2016-02,18,0,<1
2016-03,18,0,<1
2016-04,18,0,<1
2016-05,18,0,<1
2016-06,16,0,<1
2016-07,14,0,<1
2016-08,15,0,<1
2016-09,18,0,<1
2016-10,19,0,<1
2016-11,19,0,0
2016-12,17,0,0
2017-01,18,0,0
2017-02,19,0,0
2017-03,19,0,0
2017-04,18,0,0
2017-05,19,0,0
2017-06,17,0,0
2017-07,17,0,0
2017-08,17,0,0
2017-09,19,0,0
2017-10,21,0,<1
2017-11,21,0,<1
2017-12,19,0,<1
2018-01,20,0,<1
2018-02,20,0,<1
2018-03,20,0,<1
2018-04,20,0,<1
2018-05,19,0,<1
2018-06,18,0,<1
2018-07,19,0,<1
2018-08,17,0,<1
2018-09,19,0,<1
2018-10,21,0,<1
2018-11,21,0,<1
2018-12,19,0,<1
2019-01,19,0,<1
2019-02,20,0,<1
2019-03,21,0,<1
2019-04,21,0,<1
2019-05,20,0,1
2019-06,19,0,<1
2019-07,20,0,<1
2019-08,20,0,<1
2019-09,22,0,1
2019-10,23,0,1
2019-11,24,0,1
2019-12,23,0,1
2020-01,23,0,1
2020-02,24,0,1
2020-03,26,0,1
2020-04,27,0,1
2020-05,25,0,1
2020-06,24,0,1
2020-07,23,0,1
2020-08,21,0,1
2020-09,27,0,1
2020-10,26,0,1
2020-11,25,0,1
2020-12,25,0,1
2021-01,26,0,1
2021-02,24,0,1
2021-03,25,0,1
2021-04,24,0,1
2021-05,24,0,1
2021-06,24,0,1
2021-07,21,0,1
2021-08,22,0,1
2021-09,23,0,1
2021-10,25,0,2
2021-11,24,0,2
2021-12,23,0,2
2022-01,25,0,2
2022-02,27,0,2
2022-03,27,0,2
2022-04,26,0,2
2022-05,27,0,2
2022-06,28,0,2
2022-07,25,0,2
2022-08,25,0,2
2022-09,28,0,2
2022-10,27,0,2
2022-11,28,0,2
2022-12,26,0,2
2023-01,26,0,2
2023-02,29,0,3
2023-03,27,0,3
2023-04,26,0,2
2023-05,28,0,3
2023-06,27,8,3
2023-07,25,17,2
2023-08,25,18,2
2023-09,26,22,3
2023-10,28,25,3
2023-11,27,26,3
2023-12,24,23,3
2024-01,25,24,3
2024-02,24,27,3
2024-03,23,28,3
2024-04,23,30,3
2024-05,22,35,3
2024-06,20,32,3
2024-07,20,27,3
2024-08,23,33,3
2024-09,21,46,3
2024-10,21,52,3
2024-11,20,54,3
2024-12,18,52,3
2025-01,19,53,3
2025-02,19,63,3
2025-03,18,67,3
2025-04,17,83,3
2025-05,18,85,3
2025-06,16,88,3
2025-07,15,88,2
2025-08,16,94,2
2025-09,16,99,3
2025-10,16,100,2
2025-11,15,100,2
2025-12,14,84,2
2026-01,14,89,2
2026-02,13,91,2
2026-03,14,96,2
2026-04,13,93,2
2026-05,13,94,2
2026-06,12,92,2
2026-07,11,87,2
